CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
88437-16-5	C1=CC2=C(C=C1C#N)C(=O)C=CC2=O	InChI=1S/C11H5NO2/c12-6-7-1-2-8-9(5-7)11(14)4-3-10(8)13/h1-5H	KHUFLWSKTBKCAC-UHFFFAOYSA-N	2,49	3,99
88437-17-6	C1=CC2=C(C=C1C(=O)O)C(=O)C=CC2=O	InChI=1S/C11H6O4/c12-9-3-4-10(13)8-5-6(11(14)15)1-2-7(8)9/h1-5H,(H,14,15)	RVWULRYSVVDSEW-UHFFFAOYSA-N	2,29	3,98
58200-82-1	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C=CC2=O	InChI=1S/C10H5NO4/c12-9-3-4-10(13)8-5-6(11(14)15)1-2-7(8)9/h1-5H	XDIWXFTZTJQXDE-UHFFFAOYSA-N	2,62	3,95
483-36-3	C1=CC(=O)OC2=C1C(=O)C3=C(C2=O)OC=C3	InChI=1S/C11H4O5/c12-7-2-1-5-8(13)6-3-4-15-10(6)9(14)11(5)16-7/h1-4H	HKQPXEAYQPNPHV-UHFFFAOYSA-N	2,56	3,36
66-97-7	C1=CC(=O)OC2=CC3=C(C=CO3)C=C21	InChI=1S/C11H6O3/c12-11-2-1-7-5-8-3-4-13-9(8)6-10(7)14-11/h1-6H	ZCCUUQDIBDJBTK-UHFFFAOYSA-N	0,70	4,32
53197-58-3	C1=CC2=C(C3=C(C2=O)C=C(C=C3)[N+](=O)[O-])C(=C1)[N+](=O)[O-]	InChI=1S/C13H6N2O5/c16-13-9-2-1-3-11(15(19)20)12(9)8-5-4-7(14(17)18)6-10(8)13/h1-6H	LGDAXDNJFXVZHI-UHFFFAOYSA-N	2,46	3,87
486-25-9	C1=CC=C2C(=C1)C3=CC=CC=C3C2=O	InChI=1S/C13H8O/c14-13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)13/h1-8H	YLQWCDOCJODRMT-UHFFFAOYSA-N	1,15	3,96
54738-93-1	C1=CC=C2C=C3C(=CC2=C1)C=CC=C3[N+](=O)[O-]	InChI=1S/C14H9NO2/c16-15(17)14-7-3-6-12-8-10-4-1-2-5-11(10)9-13(12)14/h1-9H	JBDYKGMNMDIHFL-UHFFFAOYSA-N	1,67	3,05
3586-69-4	C1=CC=C2C=C3C=C(C=CC3=CC2=C1)[N+](=O)[O-]	InChI=1S/C14H9NO2/c16-15(17)14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H	NZWGQBVOKHEKLD-UHFFFAOYSA-N	1,63	3,19
75-12-7	NC=O	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)	ZHNUHDYFZUAESO-UHFFFAOYSA-N	-1,10	7,22
288-13-1	c1cn[nH]c1	InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)	WTKZEGDFNFYCGP-UHFFFAOYSA-N	-1,61	7,08
60-35-5	CC(N)=O	InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)	DLFVBJFMPXGRIB-UHFFFAOYSA-N	-1,01	6,87
289-95-2	c1cncnc1	InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	CZPWVGJYEJSRLH-UHFFFAOYSA-N	-0,35	5,67
96-45-7	S=C1NCCN1	InChI=1S/C3H6N2S/c6-3-4-1-2-5-3/h1-2H2,(H2,4,5,6)	PDQAZBWRQCGBEV-UHFFFAOYSA-N	-0,92	5,43
88-12-0	C=CN1CCCC1=O	InChI=1S/C6H9NO/c1-2-7-5-3-4-6(7)8/h2H,1,3-5H2	WHNWPMSKXPGLAX-UHFFFAOYSA-N	-0,81	5,78
586-98-1	OCc1ccccn1	InChI=1S/C6H7NO/c8-5-6-3-1-2-4-7-6/h1-4,8H,5H2	SHNUBALDGXWUJI-UHFFFAOYSA-N	-0,35	6,12
16957-70-3	CC/C=C(\C)C(=O)O	InChI=1S/C6H10O2/c1-3-4-5(2)6(7)8/h4H,3H2,1-2H3,(H,7,8)/b5-4+	JJYWRQLLQAKNAD-SNAWJCMRSA-N	-0,09	5,97
103-85-5	NC(=S)Nc1ccccc1	InChI=1S/C7H8N2S/c8-7(10)9-6-4-2-1-3-5-6/h1-5H,(H3,8,9,10)	FULZLIGZKMKICU-UHFFFAOYSA-N	-0,09	4,75
110-44-1	C/C=C/C=C/C(=O)O	InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+	WSWCOQWTEOXDQX-MQQKCMAXSA-N	0,53	4,79
496-16-2	Nn1ccnn1	InChI=1S/C2H4N4/c3-6-2-1-4-5-6/h1-2H,3H2	MPSUGQWRVNRJEE-UHFFFAOYSA-N	0,49	6,84
98-97-5	c1ccc2c(c1)CCO2	InChI=1S/C8H8O/c1-2-4-8-7(3-1)5-6-9-8/h1-4H,5-6H2	HBEDSQVIWPRPAY-UHFFFAOYSA-N	-1,02	5,52
110-17-8	O=C(O)c1cnccn1	InChI=1S/C5H4N2O2/c8-5(9)4-3-6-1-2-7-4/h1-3H,(H,8,9)	NIPZZXUFJPQHNH-UHFFFAOYSA-N	0,88	4,92
83-33-0	O=C(O)/C=C/C(=O)O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	VZCYOOQTPOCHFL-OWOJBTEDSA-N	1,35	5,33
5350-93-6	O=C1CCc2ccccc21	InChI=1S/C9H8O/c10-9-6-5-7-3-1-2-4-8(7)9/h1-4H,5-6H2	QNXSIUBBGPHDDE-UHFFFAOYSA-N	0,24	5,06
697-82-5	Nc1ccc(Cl)nc1	InChI=1S/C5H5ClN2/c6-5-2-1-4(7)3-8-5/h1-3H,7H2	QAJYCQZQLVENRZ-UHFFFAOYSA-N	-0,39	4,97
122-97-4	Cc1cc(C)c(C)c(O)c1	InChI=1S/C9H12O/c1-6-4-7(2)8(3)9(10)5-6/h4-5,10H,1-3H3	OGRAOKJKVGDSFR-UHFFFAOYSA-N	-0,90	5,80
-	OCCCc1ccccc1	InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2	VAJVDSVGBWFCLW-UHFFFAOYSA-N	-0,86	6,35
617-52-7	C=C(CC(=O)OC)C(=O)OC	InChI=1S/C7H10O4/c1-5(7(9)11-3)4-6(8)10-2/h1,4H2,2-3H3	ZWWQRMFIZFPUAA-UHFFFAOYSA-N	0,19	6,16
94-67-7	ON=Cc1ccccc1O	InChI=1S/C7H7NO2/c9-7-4-2-1-3-6(7)5-8-10/h1-5,9-10H	ORIHZIZPTZTNCU-UHFFFAOYSA-N	0,05	4,89
1550-35-2	O=Cc1ccc(F)cc1F	InChI=1S/C7H4F2O/c8-6-2-1-5(4-10)7(9)3-6/h1-4H	WCGPCBACLBHDCI-UHFFFAOYSA-N	0,68	5,15
321-38-0	Fc1cccc2ccccc12	InChI=1S/C10H7F/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H	CWLKTJOTWITYSI-UHFFFAOYSA-N	-0,09	4,71
119-84-6	O=C1CCc2ccccc2O1	InChI=1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2	VMUXSMXIQBNMGZ-UHFFFAOYSA-N	-0,51	5,94
121-33-5	COc1cc(C=O)ccc1O	InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3	MWOOGOJBHIARFG-UHFFFAOYSA-N	0,20	4,66
97-54-1	C/C=C/c1ccc(O)c(OC)c1	InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3/b4-3+	BJIOGJUNALELMI-ONEGZZNKSA-N	-0,55	4,60
621-23-8	COc1cc(OC)cc(OC)c1	InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3	LKUDPHPHKOZXCD-UHFFFAOYSA-N	-1,01	5,81
144-62-7	O=C(O)C(=O)O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	MUBZPKHOEPUJKR-UHFFFAOYSA-N	0,70	5,68
6638-05-7	COc1cc(C)cc(OC)c1O	InChI=1S/C9H12O3/c1-6-4-7(11-2)9(10)8(5-6)12-3/h4-5,10H,1-3H3	ZFBNNSOJNZBLLS-UHFFFAOYSA-N	-1,02	5,56
62-55-5	[H]/N=C(\C)S	InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)	YUKQRDCYNOVPGJ-UHFFFAOYSA-N	-0,77	6,37
104-20-1	COc1ccc(CCC(C)=O)cc1	InChI=1S/C11H14O2/c1-9(12)3-4-10-5-7-11(13-2)8-6-10/h5-8H,3-4H2,1-2H3	PCBSXBYCASFXTM-UHFFFAOYSA-N	-0,57	5,39
124-19-6	CCCCCCCCC=O	InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3	GYHFUZHODSMOHU-UHFFFAOYSA-N	-0,62	6,13
2550-26-7	CC(=O)CCc1ccccc1	InChI=1S/C10H12O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3	AKGGYBADQZYZPD-UHFFFAOYSA-N	-0,49	5,98
3770-50-1	CCOC(=O)c1cc2ccccc2[nH]1	InChI=1S/C11H11NO2/c1-2-14-11(13)10-7-8-5-3-4-6-9(8)12-10/h3-7,12H,2H2,1H3	QQXQAEWRSVZPJM-UHFFFAOYSA-N	0,25	4,51
2373-80-0	O=C(O)C=Cc1ccc2c(c1)OCO2	InChI=1S/C10H8O4/c11-10(12)4-2-7-1-3-8-9(5-7)14-6-13-8/h1-5H,6H2,(H,11,12)	QFQYZMGOKIROEC-UHFFFAOYSA-N	0,76	4,05
488-93-7	O=C(O)c1ccoc1	InChI=1S/C5H4O3/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)	IHCCAYCGZOLTEU-UHFFFAOYSA-N	-0,28	5,68
103-49-1	c1ccc(CNCc2ccccc2)cc1	InChI=1S/C14H15N/c1-3-7-13(8-4-1)11-15-12-14-9-5-2-6-10-14/h1-10,15H,11-12H2	BWLUMTFWVZZZND-UHFFFAOYSA-N	-0,60	5,73
872-50-4	CN1CCCC1=O	InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3	SECXISVLQFMRJM-UHFFFAOYSA-N	-1,00	6,64
10310-21-1	Nc1nc(Cl)c2ncnc-2[nH]1	InChI=1S/C5H4ClN5/c6-3-2-4(9-1-8-2)11-5(7)10-3/h1H,(H3,7,8,9,10,11)	RYYIULNRIVUMTQ-UHFFFAOYSA-N	0,65	4,49
96-76-4	CC(C)(C)c1ccc(O)c(C(C)(C)C)c1	InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3	ICKWICRCANNIBI-UHFFFAOYSA-N	-0,85	5,70
484-11-7	Cc1ccc2ccc3ccc(C)nc3c2n1	InChI=1S/C14H12N2/c1-9-3-5-11-7-8-12-6-4-10(2)16-14(12)13(11)15-9/h3-8H,1-2H3	IYRGXJIJGHOCFS-UHFFFAOYSA-N	0,23	4,70
102-06-7	N=C(Nc1ccccc1)Nc1ccccc1	InChI=1S/C13H13N3/c14-13(15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,(H3,14,15,16)	OWRCNXZUPFZXOS-UHFFFAOYSA-N	-0,40	5,18
3569-99-1	O=C(NCO)c1cccnc1	InChI=1S/C7H8N2O2/c10-5-9-7(11)6-2-1-3-8-4-6/h1-4,10H,5H2,(H,9,11)	JRFKIOFLCXKVOT-UHFFFAOYSA-N	0,49	5,55
830-96-6	O=C(O)CCc1c[nH]c2ccccc12	InChI=1S/C11H11NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6H2,(H,13,14)	GOLXRNDWAUTYKT-UHFFFAOYSA-N	-0,66	5,10
563-96-2	O=C(O)C(O)O	InChI=1S/C2H4O4/c3-1(4)2(5)6/h1,3-4H,(H,5,6)	GOCCREQJUBABAL-UHFFFAOYSA-N	-0,61	7,29
1138-80-3	O=C(O)CNC(=O)OCc1ccccc1	InChI=1S/C10H11NO4/c12-9(13)6-11-10(14)15-7-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,14)(H,12,13)	CJUMAFVKTCBCJK-UHFFFAOYSA-N	0,79	6,40
5162-03-8	O=C(c1ccccc1)c1ccccc1Cl	InChI=1S/C13H9ClO/c14-12-9-5-4-8-11(12)13(15)10-6-2-1-3-7-10/h1-9H	VMHYWKBKHMYRNF-UHFFFAOYSA-N	0,76	5,00
50-85-1	Cc1ccc(C(=O)O)c(O)c1	InChI=1S/C8H8O3/c1-5-2-3-6(8(10)11)7(9)4-5/h2-4,9H,1H3,(H,10,11)	NJESAXZANHETJV-UHFFFAOYSA-N	0,03	5,15
525-79-1	c1coc(CNc2ncnc3[nH]cnc23)c1	InChI=1S/C10H9N5O/c1-2-7(16-3-1)4-11-9-8-10(13-5-12-8)15-6-14-9/h1-3,5-6H,4H2,(H2,11,12,13,14,15)	QANMHLXAZMSUEX-UHFFFAOYSA-N	-0,38	5,20
120-14-9	COc1ccc(C=O)cc1OC	InChI=1S/C9H10O3/c1-11-8-4-3-7(6-10)5-9(8)12-2/h3-6H,1-2H3	WJUFSDZVCOTFON-UHFFFAOYSA-N	0,17	4,46
39515-51-0	O=Cc1cccc(Oc2ccccc2)c1	InChI=1S/C13H10O2/c14-10-11-5-4-8-13(9-11)15-12-6-2-1-3-7-12/h1-10H	MRLGCTNJRREZHZ-UHFFFAOYSA-N	0,56	4,65
556-50-3	NCC(=O)NCC(=O)O	InChI=1S/C4H8N2O3/c5-1-3(7)6-2-4(8)9/h1-2,5H2,(H,6,7)(H,8,9)	YMAWOPBAYDPSLA-UHFFFAOYSA-N	-0,60	6,56
1135-40-6	O=S(=O)(O)CCCNC1CCCCC1	InChI=1S/C9H19NO3S/c11-14(12,13)8-4-7-10-9-5-2-1-3-6-9/h9-10H,1-8H2,(H,11,12,13)	PJWWRFATQTVXHA-UHFFFAOYSA-N	0,02	5,88
60-27-5	CN1CC(=O)N=C1N	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	DDRJAANPRJIHGJ-UHFFFAOYSA-N	-0,45	5,92
90-15-3	Oc1cccc2ccccc12	InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H	KJCVRFUGPWSIIH-UHFFFAOYSA-N	-0,34	4,58
52727-57-8	COC(=O)c1cc(Br)ccc1N	InChI=1S/C8H8BrNO2/c1-12-8(11)6-4-5(9)2-3-7(6)10/h2-4H,10H2,1H3	QVNYNHCNNGKULA-UHFFFAOYSA-N	0,26	4,31
94-13-3	CCCOC(=O)c1ccc(O)cc1	InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3	QELSKZZBTMNZEB-UHFFFAOYSA-N	-0,11	5,38
99-14-9	O=C(O)CC(CC(=O)O)C(=O)O	InChI=1S/C6H8O6/c7-4(8)1-3(6(11)12)2-5(9)10/h3H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	KQTIIICEAUMSDG-UHFFFAOYSA-N	-0,19	7,30
99-10-5	O=C(O)c1cc(O)cc(O)c1	InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)	UYEMGAFJOZZIFP-UHFFFAOYSA-N	0,30	4,77
104-55-2	O=C/C=C/c1ccccc1	InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+	KJPRLNWUNMBNBZ-QPJJXVBHSA-N	1,02	4,27
77-40-7	CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1	InChI=1S/C16H18O2/c1-3-16(2,12-4-8-14(17)9-5-12)13-6-10-15(18)11-7-13/h4-11,17-18H,3H2,1-2H3	HTVITOHKHWFJKO-UHFFFAOYSA-N	-0,66	5,39
586-38-9	COc1cccc(C(=O)O)c1	InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-7)8(9)10/h2-5H,1H3,(H,9,10)	XHQZJYCNDZAGLW-UHFFFAOYSA-N	0,21	4,85
100-09-4	COc1ccc(C(=O)O)cc1	InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)	ZEYHEAKUIGZSGI-UHFFFAOYSA-N	-0,07	5,23
303-07-1	O=C(O)c1c(O)cccc1O	InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)	AKEUNCKRJATALU-UHFFFAOYSA-N	0,11	4,78
501-30-4	O=c1cc(CO)occ1O	InChI=1S/C6H6O4/c7-2-4-1-5(8)6(9)3-10-4/h1,3,7,9H,2H2	BEJNERDRQOWKJM-UHFFFAOYSA-N	0,07	5,13
30652-11-0	Cc1c(O)c(=O)ccn1C	InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3	TZXKOCQBRNJULO-UHFFFAOYSA-N	-0,33	4,95
123-08-0	O=Cc1ccc(O)cc1	InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H	RGHHSNMVTDWUBI-UHFFFAOYSA-N	0,20	5,01
93-99-2	O=C(Oc1ccccc1)c1ccccc1	InChI=1S/C13H10O2/c14-13(11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H	FCJSHPDYVMKCHI-UHFFFAOYSA-N	0,45	5,34
133-32-4	O=C(O)CCCc1c[nH]c2ccccc12	InChI=1S/C12H13NO2/c14-12(15)7-3-4-9-8-13-11-6-2-1-5-10(9)11/h1-2,5-6,8,13H,3-4,7H2,(H,14,15)	JTEDVYBZBROSJT-UHFFFAOYSA-N	-0,67	5,06
120-94-5	CN1CCCC1	InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3	AVFZOVWCLRSYKC-UHFFFAOYSA-N	-1,31	6,11
1120-99-6	Nc1nccnn1	InChI=1S/C3H4N4/c4-3-5-1-2-6-7-3/h1-2H,(H2,4,5,7)	MJIWQHRXSLOUJN-UHFFFAOYSA-N	0,32	4,48
95-25-0	O=c1[nH]c2cc(Cl)ccc2o1	InChI=1S/C7H4ClNO2/c8-4-1-2-6-5(3-4)9-7(10)11-6/h1-3H,(H,9,10)	TZFWDZFKRBELIQ-UHFFFAOYSA-N	-0,32	5,43
315-30-0	O=c1[nH]cnc2[nH]ncc12	InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)	OFCNXPDARWKPPY-UHFFFAOYSA-N	-0,02	5,42
94-41-7	O=C(/C=C/c1ccccc1)c1ccccc1	InChI=1S/C15H12O/c16-15(14-9-5-2-6-10-14)12-11-13-7-3-1-4-8-13/h1-12H/b12-11+	DQFBYFPFKXHELB-VAWYXSNFSA-N	1,17	4,15
130-16-5	Oc1ccc(Cl)c2cccnc12	InChI=1S/C9H6ClNO/c10-7-3-4-8(12)9-6(7)2-1-5-11-9/h1-5,12H	CTQMJYWDVABFRZ-UHFFFAOYSA-N	0,55	4,06
89-25-8	CC1=NN(c2ccccc2)C(=O)C1	InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3	QELUYTUMUWHWMC-UHFFFAOYSA-N	-0,16	4,85
122-03-2	CC(C)c1ccc(C=O)cc1	InChI=1S/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3	WTWBUQJHJGUZCY-UHFFFAOYSA-N	0,37	5,20
65-45-2	NC(=O)c1ccccc1O	InChI=1S/C7H7NO2/c8-7(10)5-3-1-2-4-6(5)9/h1-4,9H,(H2,8,10)	SKZKKFZAGNVIMN-UHFFFAOYSA-N	0,15	4,85
575-61-1	O=C1OC(=Cc2ccccc2)c2ccccc21	InChI=1S/C15H10O2/c16-15-13-9-5-4-8-12(13)14(17-15)10-11-6-2-1-3-7-11/h1-10H	YRTPZXMEBGTPLM-UHFFFAOYSA-N	1,08	3,79
101-92-8	CC(=O)CC(=O)Nc1ccc(Cl)cc1	InChI=1S/C10H10ClNO2/c1-7(13)6-10(14)12-9-4-2-8(11)3-5-9/h2-5H,6H2,1H3,(H,12,14)	JMRJWEJJUKUBEA-UHFFFAOYSA-N	0,30	4,72
55750-53-3	O=C(O)CCCCCN1C(=O)C=CC1=O	InChI=1S/C10H13NO4/c12-8-5-6-9(13)11(8)7-3-1-2-4-10(14)15/h5-6H,1-4,7H2,(H,14,15)	WOJKKJKETHYEAC-UHFFFAOYSA-N	1,44	4,73
69-72-7	O=C(O)c1ccccc1O	InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)	YGSDEFSMJLZEOE-UHFFFAOYSA-N	0,31	4,77
595-46-0	CC(C)(C(=O)O)C(=O)O	InChI=1S/C5H8O4/c1-5(2,3(6)7)4(8)9/h1-2H3,(H,6,7)(H,8,9)	OREAFAJWWJHCOT-UHFFFAOYSA-N	-0,34	7,42
536-66-3	CC(C)c1ccc(C(=O)O)cc1	InChI=1S/C10H12O2/c1-7(2)8-3-5-9(6-4-8)10(11)12/h3-7H,1-2H3,(H,11,12)	CKMXAIVXVKGGFM-UHFFFAOYSA-N	0,14	5,56
94-44-0	O=C(OCc1ccccc1)c1cccnc1	InChI=1S/C13H11NO2/c15-13(12-7-4-8-14-9-12)16-10-11-5-2-1-3-6-11/h1-9H,10H2	KVYGGMBOZFWZBQ-UHFFFAOYSA-N	0,47	5,29
131-57-7	COc1ccc(C(=O)c2ccccc2)c(O)c1	InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3	DXGLGDHPHMLXJC-UHFFFAOYSA-N	0,38	4,57
331-39-5	O=C(O)C=Cc1ccc(O)c(O)c1	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	QAIPRVGONGVQAS-UHFFFAOYSA-N	0,71	4,21
1596-84-5	CN(C)NC(=O)CCC(=O)O	InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)	NOQGZXFMHARMLW-UHFFFAOYSA-N	-0,36	6,12
94-25-7	CCCCOC(=O)c1ccc(N)cc1	InChI=1S/C11H15NO2/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7H,2-3,8,12H2,1H3	IUWVALYLNVXWKX-UHFFFAOYSA-N	-0,25	4,99
94-26-8	CCCCOC(=O)c1ccc(O)cc1	InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3	QFOHBWFCKVYLES-UHFFFAOYSA-N	-0,13	5,38
29915-38-6	O=S(=O)(O)CCCNC(CO)(CO)CO	InChI=1S/C7H17NO6S/c9-4-7(5-10,6-11)8-2-1-3-15(12,13)14/h8-11H,1-6H2,(H,12,13,14)	YNLCVAQJIKOXER-UHFFFAOYSA-N	0,22	5,96
599-64-4	CC(C)(c1ccccc1)c1ccc(O)cc1	InChI=1S/C15H16O/c1-15(2,12-6-4-3-5-7-12)13-8-10-14(16)11-9-13/h3-11,16H,1-2H3	QBDSZLJBMIMQRS-UHFFFAOYSA-N	-0,74	5,57
443-48-1	Cc1ncc([N+](=O)[O-])n1CCO	InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3	VAOCPAMSLUNLGC-UHFFFAOYSA-N	1,07	4,57
50-65-7	O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O	InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)	RJMUSRYZPJIFPJ-UHFFFAOYSA-N	1,77	3,84
50-78-2	CC(=O)Oc1ccccc1C(=O)O	InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	0,41	5,50
505-23-7	C1CSCSC1	InChI=1S/C4H8S2/c1-2-5-4-6-3-1/h1-4H2	WQADWIOXOXRPLN-UHFFFAOYSA-N	-0,23	5,71
2127-03-9	c1ccc(SSc2ccccn2)nc1	InChI=1S/C10H8N2S2/c1-3-7-11-9(5-1)13-14-10-6-2-4-8-12-10/h1-8H	HAXFWIACAGNFHA-UHFFFAOYSA-N	1,20	4,98
93-08-3	CC(=O)c1ccc2ccccc2c1	InChI=1S/C12H10O/c1-9(13)11-7-6-10-4-2-3-5-12(10)8-11/h2-8H,1H3	XSAYZAUNJMRRIR-UHFFFAOYSA-N	0,68	4,38
67-47-0	O=Cc1ccc(CO)o1	InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2	NOEGNKMFWQHSLB-UHFFFAOYSA-N	0,47	4,86
4247-02-3	CC(C)COC(=O)c1ccc(O)cc1	InChI=1S/C11H14O3/c1-8(2)7-14-11(13)9-3-5-10(12)6-4-9/h3-6,8,12H,7H2,1-2H3	XPJVKCRENWUEJH-UHFFFAOYSA-N	-0,14	5,39
122-79-2	CC(=O)Oc1ccccc1	InChI=1S/C8H8O2/c1-7(9)10-8-5-3-2-4-6-8/h2-6H,1H3	IPBVNPXQWQGGJP-UHFFFAOYSA-N	-0,59	6,43
107-97-1	CNCC(=O)O	InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)	FSYKKLYZXJSNPZ-UHFFFAOYSA-N	-0,85	6,26
35212-22-7	CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1	InChI=1S/C18H16O3/c1-12(2)21-14-8-9-15-17(10-14)20-11-16(18(15)19)13-6-4-3-5-7-13/h3-12H,1-2H3	SFBODOKJTYAUCM-UHFFFAOYSA-N	0,40	4,64
115-20-8	OCC(Cl)(Cl)Cl	InChI=1S/C2H3Cl3O/c3-2(4,5)1-6/h6H,1H2	KPWDGTGXUYRARH-UHFFFAOYSA-N	1,17	7,11
518-45-6	O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12	InChI=1S/C20H12O5/c21-11-5-7-15-17(9-11)25-18-10-12(22)6-8-16(18)19(15)13-3-1-2-4-14(13)20(23)24/h1-10,21H,(H,23,24)	YKGGGCXBWXHKIZ-UHFFFAOYSA-N	1,64	3,23
144-83-2	Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	InChI=1S/C11H11N3O2S/c12-9-4-6-10(7-5-9)17(15,16)14-11-3-1-2-8-13-11/h1-8H,12H2,(H,13,14)	GECHUMIMRBOMGK-UHFFFAOYSA-N	0,41	5,15
503-74-2	CC(C)CC(=O)O	InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)	GWYFCOCPABKNJV-UHFFFAOYSA-N	-0,91	7,35
67-20-9	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1	InChI=1S/C8H6N4O5/c13-6-4-11(8(14)10-6)9-3-5-1-2-7(17-5)12(15)16/h1-3H,4H2,(H,10,13,14)/b9-3+	NXFQHRVNIOXGAQ-YCRREMRBSA-N	1,90	3,72
