CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
4120-02-9	C=C=N	InChI=1S/C2H3N/c1-2-3/h3H,1H2	ZUKSLMGYYPZZJD-UHFFFAOYSA-N	-0,87	6,29
1518-16-7	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	InChI=1S/C12H4N4/c13-5-11(6-14)9-1-2-10(4-3-9)12(7-15)8-16/h1-4H	PCCVSPMFGIFTHU-UHFFFAOYSA-N	3,72	2,57
110-02-1	s1cccc1	InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H	YTPLMLYBLZKORZ-UHFFFAOYSA-N	-1,23	6,06
24430-27-1	C1=CSC(=C1Br)[N+](=O)[O-]	InChI=1S/C4H2BrNO2S/c5-3-1-2-9-4(3)6(7)8/h1-2H	UYIHKIRPUMUUJX-UHFFFAOYSA-N	1,46	4,43
400-13-5	Fc1sccc1	InChI=1S/C4H3FS/c5-4-2-1-3-6-4/h1-3H	DXHCHIJMMKQRKR-UHFFFAOYSA-N	-1,33	5,91
96-43-5	Clc1sccc1	InChI=1S/C4H3ClS/c5-4-2-1-3-6-4/h1-3H	GSFNQBFZFXUTBN-UHFFFAOYSA-N	0,11	5,63
1003-09-4	Brc1sccc1	InChI=1S/C4H3BrS/c5-4-2-1-3-6-4/h1-3H	TUCRZHGAIRVWTI-UHFFFAOYSA-N	0,52	5,60
617-90-3	N#Cc1occc1	InChI=1S/C5H3NO/c6-4-5-2-1-3-7-5/h1-3H	YXDXXGXWFJCXEB-UHFFFAOYSA-N	-0,14	5,53
5919-26-6	[O-][N+](=O)c1[nH]ccc1	InChI=1S/C4H4N2O2/c7-6(8)4-2-1-3-5-4/h1-3,5H	FTBBGQKRYUTLMP-UHFFFAOYSA-N	0,86	4,52
7570-47-0	Cc1[nH]c2ccc(cc2c1)[N+]([O-])=O	InChI=1S/C9H8N2O2/c1-6-4-7-5-8(11(12)13)2-3-9(7)10-6/h2-5,10H,1H3	IDJGRXQMAHESOD-UHFFFAOYSA-N	0,73	4,00
245524-93-0	C1=CNC2=C1C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C8H5N3O4/c12-10(13)5-3-7-6(1-2-9-7)8(4-5)11(14)15/h1-4,9H	ZDIBNKJWLUKNHH-UHFFFAOYSA-N	1,74	4,01
2105-73-9	C1=CNC(=C1)F	InChI=1S/C4H4FN/c5-4-2-1-3-6-4/h1-3,6H	CVCDRFTUJQLDOH-UHFFFAOYSA-N	-1,18	6,00
56454-22-9	C1=CNC(=C1)Cl	InChI=1S/C4H4ClN/c5-4-2-1-3-6-4/h1-3,6H	PLGXRTUGMZEVII-UHFFFAOYSA-N	-1,14	5,98
