,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
C3r Car Car C2r,482,98,25,13,11,4,1,0,0,0,0,0,0,0,0,0,0,0
C3r C2r Nac C2r,194,20,6,0,0,0,0,0,0,0,0,0,2,0,4,2,16,28
C2r Nac C2r .=O,27,11,5,0,1,2,0,0,0,0,0,0,0,0,0,10,36,475
C2r Car Car Nd0,202,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,139
.=O Car Nd0 Car,1,0,0,0,0,0,0,0,0,0,0,0,3,6,8,27,136,1744
.=O Car Car Car,1154,40,6,2,0,0,0,0,0,0,0,0,1,2,3,14,58,2982
Car Nd0 Car Cs3,0,0,0,0,0,0,0,0,2,0,0,1,1,12,25,35,91,316
Nac Car Cs3 Cs3,71,78,51,63,84,135,173,194,174,136,172,110,110,83,64,55,60,68
Nd0 Car Cs3 Cs3,12,6,2,13,8,15,18,38,11,16,18,13,12,17,11,8,2,20
.=O Car Car O_a,36,9,5,5,0,2,4,0,0,0,0,1,0,0,0,0,0,0
Car Car O_a Car,1559,186,148,107,127,107,154,197,225,221,186,174,108,124,133,142,210,1014
O_a Car Car Nac,572,32,12,1,2,0,1,0,0,0,0,1,0,2,0,7,27,565
Cs3 Car Nac Cs3,432,50,13,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Car Car Nd0 SO2,88,46,56,39,49,54,60,48,56,51,50,51,50,44,52,56,46,87
Car Nd0 SO2 Cs3,2,1,0,2,14,21,30,42,32,5,8,3,1,3,0,1,2,5
Car Nd0 SO2 .=O,16,29,34,91,125,117,81,43,15,8,13,10,7,21,29,75,162,232
Nd0 SO2 Cs3 Cs3,1,0,0,7,10,46,24,16,13,4,5,3,3,1,2,7,22,33
Cs3 Cs3 SO2 .=O,13,23,17,48,86,174,163,70,21,16,10,13,11,12,17,43,75,182
Nd0 Cs3 Cs3 SO2,2,4,0,8,1,1,0,0,0,0,0,0,1,0,0,0,4,1
SO2 Nd0 Cs3 Car,0,0,0,3,12,11,9,7,3,5,5,5,0,4,2,7,3,7
Hal Car Car Car,558,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2,36,10684
Nd0 Cs3 Car Nac,18,31,31,18,19,15,19,12,6,9,7,19,10,27,23,18,14,19
.=O SO2 Nd0 Cs3,18,22,53,80,84,72,59,20,16,14,7,8,12,16,25,65,115,134
Car SO2 Nd0 Cs3,1,1,4,20,29,53,49,45,23,11,5,10,2,3,4,4,0,2
Car Car Car C2r,477,18,0,0,0,0,1,0,0,0,0,0,0,1,3,19,63,4098
Car Nac C2r Car,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76
Car Nac C2r .=O,350,58,7,9,2,2,0,0,0,0,0,0,0,0,2,3,22,253
C2r Nac Car Car,255,73,54,65,90,64,74,49,93,97,53,66,73,76,69,43,70,236
Cs3 Nac C2r Car,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,273
Cs3 Nac C2r .=O,799,119,37,12,10,0,2,1,0,0,0,0,0,0,1,0,0,39
Car SO2 Nd0 Car,5,2,6,5,34,61,86,59,40,13,9,1,1,0,0,1,1,1
O_a Car Car SO2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
C3r Nd+ Cs3 Car,13,11,6,28,60,168,198,153,86,35,26,25,29,39,44,95,122,229
C3r C3r Nac Cs3,10,8,19,21,49,71,84,76,49,31,46,53,74,39,70,68,144,133
C3r Nac Cs2 O_a,43,15,7,1,0,2,2,1,0,1,1,0,2,1,0,4,21,49
Nac Cs2 O_a Car,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2
Cs2 O_a Car Car,1,1,1,1,2,1,4,13,12,13,12,3,2,3,1,0,1,1
O_a Cs2 Nac Cs3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Car O_a Cs2 .=O,20,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Cs3 Nac Cs2 .=O,451,47,23,10,5,1,5,0,4,3,0,0,3,5,6,18,60,396
Nac Car Nac Nac,1541,9,9,5,3,3,0,0,3,0,0,2,1,1,3,8,26,869
Nac Car Nd0 Cs3,396,148,47,12,3,6,6,3,10,6,5,4,5,6,8,37,105,268
Car Nd0 Car Nd0,240,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,638
Nd0 Car Nd0 Cs3,11,3,1,1,0,0,0,0,5,1,0,0,0,0,1,4,12,44
Car Nd0 Cs3 Cs3,3,3,7,4,14,17,44,79,91,101,63,41,40,57,61,82,84,116
Car Nd0 Cs3 Cs2,0,0,0,0,0,4,18,11,17,4,4,3,0,2,1,5,14,6
.=O Car Car Cs3,92,42,24,12,6,10,12,2,0,3,0,2,0,0,1,0,0,1
.=O Car Nac Car,268,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1786
.=O Car Nac O_d,16,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Car Car Nac O_d,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76
Car Car Cs3 C3r,8,11,9,10,25,34,71,124,137,140,102,73,37,31,9,14,13,10
Cs3 Car Car Cs3,1575,97,25,9,0,1,1,0,0,1,0,3,0,0,0,0,0,1
Car Cs3 C3r C3r,2,6,2,6,39,95,91,40,11,9,7,3,8,10,13,39,76,160
Car Nac Cs3 O_a,4,0,1,2,8,4,13,7,3,6,12,6,5,6,3,0,3,1
C3r Cs3 Car Nac,0,0,0,2,8,1,1,7,10,31,19,22,8,0,5,2,1,0
Nac Cs3 O_a Cs3,0,0,0,4,5,2,3,3,4,0,3,0,0,5,2,0,2,0
Nac Car Nac O_d,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cs3 Nac Car Nac,646,94,36,19,5,6,3,8,2,6,1,7,7,1,3,24,75,1431
Cs3 Nac Car .=O,621,225,118,54,40,19,6,11,5,6,2,4,0,1,1,1,0,1
O_d Cs3 Car Car,112,78,62,44,36,33,36,41,39,35,43,39,37,35,52,59,83,116
Car Car Nac .=O,522,196,136,94,58,45,31,36,20,21,33,33,42,60,96,133,200,579
.=O Cs2 C3r O_d,16,11,9,7,3,1,15,16,27,30,15,15,4,4,5,5,7,12
.=O Cs2 C3r C3r,162,165,201,298,226,207,228,270,256,219,215,143,122,114,125,99,88,72
Cs2 C3r C3r Cs3,12,5,17,36,27,23,9,8,22,11,0,0,5,2,11,13,13,12
Cs2 C3r C3r O_a,1,1,4,2,0,0,2,2,2,6,1,0,4,1,0,2,0,2
Cs2 C3r C3r Nac,0,0,1,0,0,5,13,5,3,2,2,7,16,5,10,11,19,25
Cs2 C3r C3r C3r,9,0,1,1,2,28,95,158,108,118,452,152,68,113,198,131,174,539
O_a Cs2 C3r O_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
O_a Cs2 C3r C3r,1,3,4,4,1,6,3,5,5,6,6,9,20,16,8,6,2,1
Cs3 O_a Cs2 C3r,0,0,0,0,1,0,0,1,0,0,1,2,0,5,8,14,26,62
Cs3 C3r Nac Car,1,4,24,81,30,19,61,57,55,65,47,15,7,11,59,55,12,5
