,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
Cs3 Cs2 Nac Cs3,112,10,3,0,0,0,0,0,0,0,0,0,0,0,0,6,9,141
O_d Cs3 Cs2 Nac,0,0,0,1,0,3,0,2,0,0,0,0,0,3,7,9,12,5
Cs2 Nac Cs3 Cs3,1,0,2,4,5,13,16,36,67,66,52,57,30,19,9,10,11,8
Car Cs2 Nd0 O_d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,67
.=O Cs2 Nd0 O_d,358,28,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
.=O C2r Car Nac,65,9,2,5,0,0,0,0,0,0,0,0,0,6,0,8,11,28
O_d Car Car C2r,131,24,14,11,2,0,0,4,0,0,0,0,0,2,0,0,0,0
C3r Nac C2r Car,236,35,13,4,0,0,0,0,0,0,0,0,0,0,3,6,28,181
Nac Nac Cs3 Car,2,1,0,1,4,10,23,13,49,28,10,8,3,1,3,2,0,1
C2r Car Nac C3r,23,6,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Nac C2r Car Nac,18,17,1,1,5,1,0,0,0,0,0,0,0,0,0,1,8,26
Nd0 Car Car Nd0,533,9,1,3,0,0,0,0,0,0,0,0,0,0,1,0,3,255
O_d Cs2 Cs3 Cs3,2,0,0,0,3,0,4,4,5,6,7,0,0,1,0,0,0,2
O_d Cs2 Cs3 Nd0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,4,2,0,1
Nd0 Cs3 C3r Nac,2,2,0,6,8,14,4,3,1,0,0,0,0,0,5,4,9,11
Cs3 C3r C3r Nd0,2,6,12,19,58,81,105,61,35,26,9,8,10,9,14,7,17,11
Cs3 C3r Nac Cs3,2,3,1,3,6,8,16,26,25,12,33,10,3,14,3,1,7,3
C3r Nd0 Car Nac,214,71,21,6,1,6,3,5,1,2,2,1,1,2,5,16,48,218
Nac Car Car .=O,458,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,112
Cs2 Cs3 Cs2 Cs3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Cs2 Cs3 Cs2 .=O,5,5,7,9,8,11,7,7,13,14,6,6,8,9,3,9,4,3
Cs2 Nd0 C3r C2r,1,0,0,5,10,13,14,17,13,11,14,16,20,15,15,15,17,11
C3r O_a C2r C3r,21,13,5,10,4,0,0,2,0,0,0,1,0,7,8,7,17,67
C3r O_a C2r .=O,111,39,18,11,9,1,2,0,0,0,2,2,0,3,8,17,37,76
Cs2 Cs3 Cs2 Nd0,1,2,0,1,3,1,0,0,2,1,1,0,1,1,1,1,0,0
C3r C3r C2r O_a,9,19,13,8,4,6,3,1,10,3,15,15,15,12,9,4,5,3
Nd0 C3r C2r O_a,4,2,0,2,0,0,1,0,1,4,6,2,8,8,8,2,1,6
Nd0 C3r C2r .=O,21,27,18,47,54,52,51,14,5,4,11,8,6,6,7,3,10,79
Nac Cs3 Cs3 Nd0,3,3,2,3,2,0,4,2,0,2,2,0,0,0,1,3,7,11
Cs3 C3r C3r O_a,5,10,26,46,65,94,113,61,33,24,39,22,18,32,46,47,46,120
Car Cs3 C3r Nac,1,0,0,0,6,11,36,13,1,3,1,2,0,0,0,0,1,2
Cs2 Car Nd0 Nac,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,2,5
Car Cs3 Nac Cs2,0,0,0,1,1,10,18,10,31,41,42,50,17,13,3,1,0,0
Cs3 Nac Cs2 Cs2,12,3,2,0,0,1,1,1,1,0,0,0,0,0,2,1,7,12
Nac Cs2 Cs2 .=O,4,1,0,4,6,5,3,11,9,6,4,4,2,1,0,2,0,4
Nac Cs3 Car Sul,17,4,0,2,4,1,4,4,3,1,2,0,1,1,0,0,0,1
.=O Cs2 Cs2 .=O,19,9,7,33,13,5,13,9,5,13,11,9,9,27,27,11,9,71
Cs3 Car Sul Car,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,17,65,459
Car Sul Car SO2,1,2,0,0,0,0,1,2,0,3,1,2,5,13,5,16,35,49
Sul Car SO2 Nd0,0,0,0,4,2,4,2,4,11,0,5,9,19,11,11,4,1,3
Sul Car SO2 .=O,32,19,26,23,16,14,12,19,12,13,14,20,10,5,8,18,13,12
Sul Car Car Hal,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Cs2 C2r C2r C3r,1,0,0,0,0,0,0,0,0,0,0,1,3,13,17,73,109,163
.=O Cs2 C2r C3r,41,22,15,5,1,4,9,0,1,3,0,2,2,1,7,7,21,40
.=O Cs2 C2r C2r,134,53,36,18,9,6,24,14,2,5,11,27,7,13,16,43,62,125
C2r C3r C3r Nd+,7,4,8,14,22,10,7,9,2,3,5,5,0,2,4,2,16,24
Nd0 C3r C3r C2r,1,2,5,1,12,15,10,4,6,1,0,1,1,6,4,6,43,62
C3r O_a Cs3 Cs3,1,2,3,0,3,18,11,12,8,8,7,7,5,9,18,22,61,80
C2r C3r O_a Cs3,1,3,1,1,8,9,9,7,5,6,7,7,8,2,0,0,0,1
Nac Car Cs2 O_a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8
Nd0 Cs2 C3r Cs3,2,1,0,0,1,0,1,0,2,0,1,3,1,0,0,3,4,6
Cs2 C3r Cs3 Cs3,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,1,1,3
Cs2 C3r C3r Hal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.=O Cs2 C3r Cs3,6,5,4,2,8,3,6,10,12,7,9,7,1,9,3,0,3,3
C3r C3r C3r Hal,1,0,0,0,0,1,4,5,0,0,0,0,0,0,2,0,0,3
Cs3 C3r C3r Hal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Car Nac SO2 Car,0,1,5,6,8,20,19,12,8,12,8,4,1,0,2,3,1,2
Cs3 O_a Car Nac,185,81,45,13,17,15,9,4,1,2,2,3,6,11,10,13,25,54
Cs3 Car Car SO2,75,17,3,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0
SO2 Nac Cs3 Cs2,0,4,1,5,6,7,14,2,7,1,0,2,2,4,3,0,0,0
Nac Cs3 Cs2 .=O,102,83,69,55,35,27,29,25,23,9,13,11,17,17,27,18,33,33
Nac Cs3 Cs2 Nac,0,0,4,1,0,0,0,0,0,0,1,0,0,3,8,8,15,26
Hal Car Car O_d,171,33,18,8,10,8,3,4,1,0,0,0,0,0,0,0,0,0
Car Nac C2r C3r,195,22,4,3,2,0,0,0,0,0,0,0,1,2,9,10,35,178
C2r C3r C3r Nac,70,16,10,4,14,6,4,12,5,0,0,0,0,1,6,10,8,4
Cs3 Nd+ C3r C2r,1,0,2,1,8,8,14,19,5,5,2,0,1,1,8,23,31,33
C2r C2r C3r Nd+,13,17,15,6,4,1,4,0,2,4,0,7,6,8,18,23,3,13
Cs3 Nac Cs2 Nd0,47,6,4,0,0,0,0,0,0,0,0,0,0,1,0,5,7,52
C3r Nd+ C3r C2r,5,6,19,9,42,36,15,22,9,0,1,2,0,2,1,5,6,8
C2r C2r C3r Nd0,15,3,1,1,0,0,0,0,1,3,2,0,2,3,3,0,1,3
C2r C3r C3r Car,18,8,5,27,63,63,28,29,13,9,4,5,7,8,7,20,20,29
Car C2r C3r Nd+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
C3r Nd0 Cs2 Nac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
Cs3 Car Car Sul,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,311
Cs3 Car Car C3r,95,50,36,13,9,9,8,7,0,3,0,0,0,1,0,0,0,0
Cs2 Cs3 C3r Nd+,0,0,0,7,9,7,17,0,0,0,0,0,0,0,0,0,3,7
Cs2 Cs3 C3r Car,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36
Cs3 Cs3 C3r Nd+,2,1,1,0,5,5,8,10,7,5,5,0,0,2,2,0,11,37
Cs3 Cs3 Cs3 C3r,4,2,7,10,26,61,49,33,18,12,18,11,15,17,33,76,118,281
C3r Cs3 Cs2 .=O,29,29,50,22,20,23,39,40,31,29,26,19,21,14,10,17,5,8
C3r Cs3 Cs2 O_a,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
C3r Car Nac Nac,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
C3r Car Car Sul,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166
Nac Car C3r Nd+,6,0,1,0,0,2,1,0,0,0,0,3,1,0,0,2,11,2
Cs3 C3r C3r Nd+,2,1,7,11,3,21,31,28,38,28,28,30,30,42,39,39,48,98
Car Car Cs2 Nd+,80,61,52,24,9,3,4,0,0,0,0,3,2,11,15,55,66,73
Cs2 Cs3 Nac C2r,0,2,3,4,5,13,19,21,24,20,20,11,5,7,7,4,2,0
Nd0 Cs2 Cs3 Nac,3,10,5,14,11,9,4,2,9,12,19,18,20,26,35,26,33,32
Nac C2r C3r Nd0,37,3,5,4,3,5,8,15,2,4,8,34,33,29,30,11,24,14
Nd0 Cs2 Car Nd0,29,12,7,4,0,0,0,0,0,0,0,0,0,0,6,17,31,64
Car Sul Car Hal,1,0,0,0,0,0,2,0,2,2,0,4,2,6,11,7,25,29
Cs3 Cs2 Nd0 O_d,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,18,242
Nd+ Cs3 Cs3 Nd+,3,1,5,11,17,13,13,3,1,3,1,1,5,5,5,7,21,9
Cs3 Cs3 C3r O_a,3,4,11,12,86,137,69,32,10,7,0,5,5,2,15,16,44,37
C3r Cs3 Cs3 Car,0,1,3,5,3,2,0,1,0,2,1,0,6,6,5,9,12,41
Nac Car Nd0 C2r,8,2,0,0,0,0,0,0,0,0,0,1,0,0,4,2,13,32
Car Nd0 C2r C3r,167,17,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32
Car O_a C3r C2r,7,12,5,10,21,9,10,3,5,2,2,0,0,0,0,0,1,1
Nd0 C2r C3r O_a,7,7,10,6,0,0,0,0,0,2,3,2,1,0,0,0,2,7
O_a C3r C2r .=O,5,5,8,0,3,7,27,10,3,6,3,3,0,6,12,15,23,31
Nac Nd0 Car Nac,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75
Nd+ Cs3 Cs2 O_a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SO2 Nd0 Car Sul,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
SO2 Nd0 Car Nac,14,4,8,4,1,0,1,0,0,0,1,3,0,1,3,7,13,19
Sul Car Car O_d,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sul Car Cs3 Car,1,0,2,0,0,1,3,4,0,4,1,2,0,0,1,3,2,1
Cs3 Cs3 Car O_a,14,5,4,11,23,13,16,14,14,3,5,8,9,6,0,8,7,6
Cs3 Cs3 Nac Nac,30,14,17,30,26,37,53,51,51,61,42,57,38,19,12,11,10,9
Car Car SO2 Nd+,4,0,0,0,0,0,3,7,1,0,9,0,0,0,0,0,0,3
Cs3 Nd+ SO2 .=O,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,8,2
Cs3 Nd+ SO2 Car,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
C3r C3r C2r O_d,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,7,1,1
C3r SO2 Nac C2r,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
C3r C2r Nac SO2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2r Nac SO2 .=O,2,1,0,0,5,8,2,5,23,10,4,10,5,0,0,2,0,2
Nac SO2 C3r Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SO2 C3r Car Car,1,10,5,0,0,0,3,6,11,11,8,0,0,0,2,6,4,1
SO2 Nac C2r O_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
.=O SO2 C3r Car,2,10,0,4,8,1,12,7,0,3,2,0,1,5,0,4,5,11
Nd0 Cs3 Car Nd0,3,0,0,4,9,11,2,3,0,1,0,0,2,1,0,1,0,0
C3r Nac C3r Nac,2,4,5,7,1,0,4,3,0,0,0,0,0,0,0,0,2,1
C3r Nac C3r Car,74,67,36,38,83,40,35,10,24,13,33,12,7,5,0,8,6,21
C2r Nac C3r Nac,3,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
C2r Nac C3r Car,131,9,6,2,6,4,22,30,12,16,22,20,35,22,16,1,0,14
Cs2 Nac C3r Car,1,0,5,6,10,22,23,22,14,12,15,18,49,41,30,23,42,40
Car Car C3r Nac,320,157,99,59,34,44,54,34,35,23,40,51,46,36,58,89,137,297
C3r C3r Nac SO2,2,3,4,3,5,2,4,20,16,37,55,69,60,88,112,91,136,124
C3r Nac SO2 .=O,79,88,132,120,163,136,75,36,23,25,26,47,36,61,86,127,178,264
C3r Nac SO2 Nd0,0,0,2,0,4,3,1,1,0,2,0,0,0,4,0,0,0,2
Cs3 Nd0 SO2 Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.=O C2r C2r .=O,79,19,3,17,3,3,3,0,1,5,7,5,1,0,0,0,0,3
.=O C2r C2r Car,55,1,0,0,0,0,1,0,0,0,0,0,0,0,3,7,4,141
C2r Nac Cs3 Car,0,0,0,0,0,4,13,13,45,37,27,18,15,22,24,15,9,4
C2r C2r Nac Car,32,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,48
C2r C2r Nac Cs3,19,1,0,0,0,0,4,1,0,1,4,3,2,0,2,3,10,88
.=O C2r C2r Nac,13,3,0,0,0,0,0,3,4,1,0,0,0,1,3,4,14,38
Car C2r C2r Nac,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
C3r Nac SO2 Car,1,2,5,4,30,56,112,109,96,63,41,22,18,15,9,3,8,4
Nac Car Cs3 Car,5,3,6,7,12,25,26,36,33,30,34,18,19,9,2,3,7,10
Cs2 Cs3 O_a Car,5,0,7,15,61,26,20,15,11,9,5,6,6,7,15,30,35,32
Car Cs3 Cs3 Nac,0,0,0,2,14,36,15,9,5,4,2,3,4,0,5,11,19,45
Cs3 Nac Car O_a,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9
Car Sul Car Sul,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,31
Nac Cs2 Cs3 Nd+,0,0,0,0,2,0,0,0,0,2,5,21,36,11,9,20,18,22
Nac C3r Cs2 Nd0,8,18,8,10,3,0,0,0,1,2,7,8,22,79,73,41,15,5
Nac C3r Cs2 .=O,23,43,57,105,88,34,8,17,6,5,8,2,3,15,28,35,41,41
Cs2 Nac C3r Cs2,1,0,3,1,8,27,75,65,46,22,12,9,15,9,0,2,1,0
Cs2 C3r Nac C3r,6,9,28,13,11,12,25,32,55,103,65,36,4,4,5,3,1,3
Car Nd0 Cs2 Cs2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,80
Nd0 Cs2 Cs2 Csp,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
Nd0 Cs2 Cs2 Cs2,32,7,0,1,1,0,3,2,3,1,7,2,4,10,3,6,10,48
Cs2 Cs2 Cs2 .=O,162,26,15,13,18,11,10,7,7,11,6,9,5,4,8,4,19,65
Cs2 Cs2 Cs2 Cs3,48,4,7,7,0,0,0,0,0,3,0,0,0,0,0,0,2,78
Csp Cs2 Cs2 Cs3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3r Nd0 Cs2 O_a,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,27
Cs3 Cs2 Nac Car,73,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39
Car C3r Nd0 Cs2,0,0,0,0,0,2,18,27,23,36,18,4,2,5,10,15,6,1
C3r Nd0 C2r Nd+,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
C3r C3r Nd0 C2r,177,81,60,49,35,33,17,14,20,25,40,128,71,48,35,23,6,25
C3r Nd+ C2r Cs3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Car Csp Csp Cs3,36,22,11,18,9,4,9,6,4,2,5,3,2,5,6,2,9,15
Car Nac O_a Car,391,42,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs3 Car Nac O_a,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,6,26,151
Car Car O_a Nac,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Car Car Nac O_a,417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,162
Csp Csp Cs3 Cs3,6,5,4,11,9,12,3,3,7,9,9,8,1,12,4,4,7,11
Csp Cs3 Cs3 Cs3,2,0,0,4,2,6,1,4,1,0,0,0,2,1,1,3,2,11
Nd0 C3r C2r Nd0,43,6,0,2,5,4,0,2,2,2,7,17,6,10,9,1,4,2
Nd0 C3r C3r Sul,25,21,24,12,1,3,0,6,56,29,12,2,5,0,0,0,0,0
C3r C2r Nd0 C3r,108,18,1,3,0,0,0,0,0,0,0,0,0,0,0,3,29,165
C3r C3r Sul Sul,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
C2r C3r C3r Sul,1,0,0,1,0,2,2,0,5,14,15,12,8,4,0,0,0,3
C2r Nd0 C3r C2r,69,16,2,4,1,3,4,6,7,21,10,8,10,8,11,7,9,3
C3r C3r C2r Nd0,34,66,59,45,17,15,21,18,20,16,29,41,66,21,17,15,21,15
C3r Sul Sul C3r,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Cs3 Nac Car Nd0,139,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
.=O Car Car Nd0,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
C3r Cs3 Cs3 Nd+,0,0,0,2,3,3,8,5,2,2,2,2,2,3,11,14,30,67
Nd0 Cs3 C3r O_d,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,2,12
Sul Car Car Cs2,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,213
C2r C3r Nac Car,11,14,19,15,17,11,7,13,4,0,12,8,5,4,6,6,6,52
Nac Car O_a Nac,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Nac C3r C2r Nd0,18,15,8,17,8,7,20,4,1,0,0,5,7,9,10,22,2,6
Nac C3r C2r .=O,5,12,26,18,16,6,2,0,0,1,10,16,9,12,25,40,63,93
Nac Cs2 Cs3 Car,0,3,6,19,14,6,5,7,2,5,3,5,0,9,11,12,8,16
Car SO2 Nd0 C3r,1,2,4,5,15,6,17,13,5,0,0,1,1,0,0,0,0,0
C3r C3r Nd0 SO2,0,0,0,0,2,2,12,2,11,9,11,18,15,13,4,6,5,12
C3r Nd0 SO2 .=O,4,1,9,6,21,25,18,13,4,5,3,3,4,6,5,19,26,44
Nd+ Car Car Nd0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Nd0 Car Car SO2,108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Cs2 C3r Nd+ C3r,0,0,1,4,4,15,6,6,7,13,6,11,7,4,9,11,29,76
C3r Nd+ C3r Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3r Nd+ C3r Sul,2,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C2r Nac C3r Nd+,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
C2r Nac C3r Cs2,9,3,3,4,11,8,5,2,8,1,6,5,2,3,1,0,3,1
Nd+ C3r Nac C3r,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nd+ C3r Sul C3r,8,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sul C3r C3r Cs2,0,0,0,0,3,3,14,13,12,1,0,1,0,0,8,18,15,7
Cs3 Car O_a Nac,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,11,23,207
Cs2 Nac Cs3 Cs2,0,0,2,3,5,6,4,4,5,3,1,3,0,1,2,0,2,5
Cs3 Nac Cs2 Car,160,30,10,3,3,2,0,0,0,1,0,3,0,3,2,6,26,178
Nac Cs2 Car Nac,19,10,11,8,6,14,11,12,2,3,4,6,7,8,4,6,4,14
C3r O_a Cs3 Cs2,1,0,1,0,0,2,0,1,0,0,0,0,3,2,0,1,0,0
O_a Cs3 Cs2 Nd0,35,18,23,14,4,1,0,2,1,2,2,14,21,7,9,14,3,6
Cs3 Cs3 Cs2 Nd+,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,0
Cs3 Cs2 Nd+ Cs3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cs2 Nd+ Cs3 Cs3,0,0,4,0,2,3,0,1,1,1,2,1,2,2,1,1,0,2
Cs2 Nd+ Cs3 Cs2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.=O Cs2 Nd+ Cs3,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2r Nac SO2 Car,7,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2
C2r Car Car SO2,11,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Car C2r Nac SO2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SO2 Nac C2r .=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cs3 Cs3 Sul Car,4,2,0,2,7,11,18,23,30,21,8,2,3,1,3,2,12,11
Cs2 Cs3 Cs3 Sul,1,2,4,5,13,13,1,4,1,0,1,1,1,2,2,5,12,39
Cs3 Sul Car Car,27,23,15,19,13,31,16,24,22,17,24,20,24,17,21,14,32,43
Nd0 Cs3 Cs2 O_a,2,3,3,4,1,1,0,0,2,3,0,2,1,2,4,5,12,6
Car Car C2r O_a,38,8,7,3,0,1,0,0,0,0,0,0,0,1,3,6,5,41
Car C2r O_a C3r,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,27
C2r Nac C3r Cs3,1,3,1,6,7,1,32,9,14,24,37,39,21,21,14,6,26,15
Nac C2r O_a C3r,56,15,9,0,0,0,0,0,0,0,0,0,0,1,0,5,6,13
C3r Nac C2r O_a,65,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8
Car Car SO2 Cs3,13,6,7,11,16,31,49,51,77,84,50,49,23,19,11,6,8,9
Nac Nd0 Car .=O,0,0,0,1,0,0,0,1,0,5,0,3,3,6,0,10,18,43
Nac Car Nac Nd0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Cs3 C3r Nd0 C2r,0,0,0,0,0,1,3,9,10,22,58,44,23,22,22,17,13,12
Cs3 Cs3 C3r Nd0,0,0,0,3,15,42,42,14,0,0,0,0,2,1,1,2,11,48
C3r Cs3 Cs3 O_d,3,4,11,32,57,66,33,10,3,3,2,3,3,0,1,5,2,12
Nd0 C3r Cs3 O_d,0,0,7,7,10,4,0,0,0,0,0,0,0,0,0,0,3,19
.=O C2r Nd+ C2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
.=O C2r C2r Sul,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
.=O C2r C2r Cs2,250,59,39,25,6,2,3,0,1,1,0,0,0,0,0,0,0,0
C2r Nd+ C2r Nd0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75
C2r Nd+ C2r Sul,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2r C2r Cs2 Car,42,19,11,4,9,6,1,0,0,0,1,2,5,8,5,18,46,135
Nd+ C2r C2r Sul,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd+ C2r C2r Cs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
Nd+ C2r Nd0 Cs3,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Nd+ C2r Sul C2r,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
C2r Nd+ C2r C2r,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C2r Nd0 Cs3 Car,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1
Nd0 Cs3 Car Sul,6,2,0,2,1,2,4,4,2,6,2,0,0,0,0,2,1,3
Cs3 Nd0 C2r Sul,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Sul C2r Cs2 Car,18,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
C2r Cs2 Car Car,20,15,20,28,16,17,12,13,22,25,10,11,14,14,25,28,45,87
C2r C3r Nac Cs3,2,4,0,5,5,2,2,2,2,1,6,1,6,3,11,16,16,30
C2r C3r Nac C2r,71,16,14,14,29,25,14,12,3,9,10,15,23,10,10,0,3,4
Cs3 C3r C2r Nd0,0,1,2,1,8,8,12,10,5,15,46,45,27,21,14,11,9,21
Sul Cs3 Car Nac,1,1,0,0,0,3,6,7,7,9,7,0,0,1,0,0,0,1
Sul Cs3 Car O_a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car Sul Cs3 Car,1,0,7,0,5,11,6,6,2,0,3,3,2,3,8,8,10,15
Car Cs2 Car Car,66,71,79,68,85,76,69,37,26,18,36,68,86,82,72,79,69,112
C3r C3r Cs3 O_a,6,13,5,28,34,61,77,32,33,13,19,16,12,20,22,29,41,76
C3r Cs3 O_a Car,3,0,2,0,1,3,3,5,1,1,4,7,13,6,27,27,44,36
C2r Car Car Cs2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
C3r Nac Cs3 Car,0,4,8,15,14,36,22,39,59,39,26,7,8,6,2,2,2,1
Cs3 Nac C3r Car,0,0,0,10,20,10,19,4,2,8,3,2,0,0,1,1,16,76
C3r C3r Cs2 Nac,4,1,7,8,23,29,29,23,19,13,17,15,18,30,27,19,30,21
C3r Cs2 Nac C3r,121,14,7,3,0,1,0,0,0,0,0,0,0,1,0,2,12,129
Nac Cs2 C3r Nac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2
Car Car C2r Car,316,16,24,22,54,21,12,1,0,0,0,12,34,46,21,25,21,300
C2r Car Car Sul,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Nac Car C3r Nac,10,4,4,7,5,2,34,7,0,12,14,19,0,8,0,6,12,26
Nac C3r Cs3 Cs2,0,3,4,7,6,18,16,2,0,1,0,0,0,0,0,0,2,5
Sul Car Cs2 Cs2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Car Cs2 Cs2 SO2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1
Cs2 Cs2 SO2 .=O,2,2,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,5
Cs2 Cs2 SO2 Nd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cs2 SO2 Nd0 C3r,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SO2 Nd0 C3r C2r,0,0,0,0,3,3,8,7,0,2,1,1,0,0,0,0,0,0
.=O SO2 Cs3 Car,1,1,2,15,16,26,20,10,5,1,2,0,1,3,2,6,8,22
SO2 Cs3 Car Car,2,3,1,1,1,11,8,19,21,25,18,8,12,0,2,2,1,3
Cs3 SO2 Nac C3r,0,2,0,4,1,11,15,29,23,20,11,12,8,5,5,2,3,4
Car Cs3 SO2 Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
