,smarts,count,group
86,[#7]~1~[#7]~[!#1]~[!#1!#6]~[!#1]~[!#1]~[!#1]~1,1,simplified
87,"[#7,#8]~1~[!#1!#6]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1!#6]~1",1,simplified
88,"[!#1]~1~[!#1]~[!#1]~[!#1]@=,:[#7]@-,:[#8]~[!#1]~1",1,simplified
89,[!#1]@[!#1]@~1@-[!#1](@-[!#1](@-[!#1](@~[!#1]@~[!#1]@~[!#1]@~1)@~[!#1])@~[!#1])@~[!#1],1,simplified
90,[#16X2]@1@[!#1!#6]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1!#6]@1,1,simplified
91,[#6]1[#6][#8][#6]([#6][#6][#6]1)=O,1,simplified
92,[!#1]1[!#1!#6][#6]=[!#1!#6][#6]=[!#1!#6][!#1!#6]1,1,simplified
93,"[!#1!#6]=[!#1]-,:1-,:[!#1!#6]=,:[!#1]~[!#1]~[!#1]~[!#1!#6]=,:[#6]-:1",1,simplified
94,"[!#1!#6]=[!#1]-,:1-,:[!#1!#6]=,:[#6]~[!#1]~[!#1]~[!#1!#6]=,:[#6]-:1",1,simplified
95,[!#1!#6]=[!#1]~1~[!#1!#6]~[!#1]~[!#1!#6]~[!#1](=[!#1!#6])~[!#1!#6]~[!#1]~[!#1!#6]~1,1,simplified
96,[#6]-1(-[!#1]=[!#1]-[!#1]=[!#1]-[!#1]=[!#1]~1)(*)*,1,simplified
97,"[$([!#1]~1~[!#1]~[!#1]~[!#1]~1)!$([C,N,O]1CCC1)!$(C1[C,N,O]CC1)!$(C1C[C,N,O]C1)!$(C1CC[C,N,O]1),*$([!#1]~1(~[!#1]~[!#1]~[!#1]~1)=[!#1]),$([!#1]21~[!#1]~[!#1]~[!#1]1[!#1][!#1]=[!#1]2),$([!#1]21~[!#1]~[!#1]~[!#1]1[!#1]=[!#1][!#1]2)]",1,basic
98,[!#1R1]1[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])]=[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])][!#1R1][!#1R1][!#1R1]1,1,basic
99,"[!#1]=[#6]([!#1!#6])-[F,Cl,Br,I]",1,basic
100,"[#16X2v2r6,sX4,sX3,#16X2v2r7,SX2v2r5!$(S1c-,:n[C,N]=C1)]",100,basic
101,"[#7,#16v2]C([#7,#16v2])[*!$([*]C([#7,#16v2])-@[#7][!#1]=O)]",1,basic
102,[$([#16])!$([#16v2])!$([#16v6])],100,basic
103,"[$([!#1]~1~[!#1]~[!#1]~1)!$(C1CC1),$([!#1]~1~[!#1](~[!#1]~1)=[!#1]),$(C1C2C1[!#1]=[!#1][!#1]2)$(C1C2C1[!#1][!#1]=[!#1]2)]",1,basic
104,[!#1R1]1[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])]=[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])][!#1R1][!#1R1]1,100,basic
105,[#8]-[#16],1,basic
106,[!#1]~1~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~1,1,basic
107,[!#1!#6;R]@[!#1!#6;R]@[!#1!#6;R]@[!#1!#6;R],1,basic
108,[!#1](~[!#1]=[#8])=[#8],1,simplified
109,[#7]-1~[!#1]-[#7]-[!#1]-[#7]-[!#1]-1,1,basic
110,[!#1]1[!#1!#6][!#1][!#1!#6][!#1][!#1!#6]1,1,basic
111,[#7]~1~[#16X2]~[!#1]~[!#1]~[!#1]~[!#1]~1,1,basic
112,"[#6][N+,N]([#6])([!#1])[!#1]",1,basic
113,C#N,2,basic
114,[!#6!#1]=[#6]1-[#6]-[!#1]-[!#6!#1]-[!#1]-[#6]-1,1,basic
115,"[F,Cl,Br,I][!#1]:1:[!#1]:[!#1]:[!#1!#6]:[!#1]:1",1,basic
116,[!#1]@[#6]@1@[#6](@[!#1])@[#6](@[!#1])@[#6]@1@[!#1],1,basic
117,"O=[#6]1[#6]=,:[#6]-,:[#6]=,:[#6]1",1,basic
118,"[Cl,Br,I][#6]:1:[!#1]:[!#1]:[!#1!#6]:[!#1]:[!#1]:1",1,basic
119,"[!#1]@[!#1]~1~[!#1]~[!#1]-2=[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~[#6]-2-,=[!#1]~[!#1]~1@[!#1]",1,basic
120,[!#1]~1~[!#1]~2~[!#1](~[!#1](~[!#1]~[!#1]~1)~[#8])~[!#1](~[!#1]~[!#1]~[!#1]~2)~[#8],1,basic
121,[!#1]~1~[!#6!#1]~[!#1](~[!#6!#1]~[!#1](~[!#6!#1]~1)~[!#6!#1])~[!#6!#1],1,basic
122,[#16]~[#6!$(c(:s)[SX4])]~[#16],1,basic
123,[!#1]~[#16X2]@~[#6]@~[#6]@~[#16X2]~[!#1],1,basic
124," [#8!$([#8]1a:aO[CR1][CR1]1)]1[!#1]:,-[!#1][#8!$([#8]1a:aO[CR1][CR1]1)][!#1]=,:[!#1]1",1,basic
125,"[!#1]@[!#1]~1~[!#1]~[!#1]=,:2-,:[!#1](-,=,:[!#1]~[!#1]~1@[!#1])~[!#1]~[!#1]~[!#1]~[!#1]=,:2",1,basic
126,[!#1]~[!#1]~1~[!#1]~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1](~[!#1])~[!#1](@[!#1])~[!#1]~2~[!#1]~1@[!#1],1,basic
127,[!#1]:2:[!#1]:[!#1]:[!#1]:1:[!#1]:3:[!#1](:[!#1]:[!#1]:[!#1]:1:[!#1]:2):[!#1]:[!#1]:[!#1]:[!#1]:3,1,basic
128,"[F,Cl,Br,I]~[#6]~S=O",1,basic
129,[!#1]@[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1](@[!#1])~[!#1](@[!#1])~[!#1]~2~[!#1]~[!#1]~1@[!#1],1,basic
130,[!#1]~1(~[!#1]~2~[!#1](~[!#1]~[!#1]~1@[!#1])~[!#1]~[!#1](~[!#1]~2@[!#1])@[!#1])@[!#1],1,basic
131,[!#1]@[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1](@[!#1])~[!#1](@[!#1])~[!#1]~[!#1]~2~[!#1]~1@[!#1],1,basic
132,[!#1]@[!#1]~1~[!#1]~[!#1]~2~[!#1](~[!#1]~[!#1]~[!#1](@[!#1])~[!#1]~2@[!#1])~[!#1]~1@[!#1],1,basic
133,O=[!#1]~1~[!#1!#6]~[!#1]~3~[!#1](~[!#1]~[!#1]~1)~[!#1]~[!#1]~2~[!#1](~[!#1]~[!#1]~[!#1]~[!#1]~2)~[!#1]~3,1,basic
134,[!#1]@[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1](@[!#1])~[!#1](@[!#1])~[!#1]~2~[!#1]~1@[!#1],1,basic
135,[C!R1]1[C!R1][C!R1][C!R1]OC1=O,1,basic
136,[!#1]@[!#1]~1~[!#1]~[!#1]~[!#1]~2~[!#1](@[!#1])~[!#1](@[!#1])~[!#1]~[!#1]~[!#1]~2~[!#1]~1@[!#1],1,basic
137,[!#1]@[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1](@[!#1])~[!#1]~2~[!#1](@[!#1])~[!#1]~1@[!#1],1,basic
138,[!#1]~3~1~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1]~2~[!#1](~[!#1]~[!#1]~1)~[!#1](~[!#1](~[!#1]~[!#1]~2)@[!#1])@[!#1],1,basic
139,[!#1]@[!#1]~1~[!#1]~[!#1]~[!#1]~2~[!#1]~[!#1](@[!#1])~[!#1](@[!#1])~[!#1]~[!#1]~[!#1]~2~[!#1]~1@[!#1],1,basic
140,[#6]1-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6]1,1,basic
141,[!#1]:1:[!#1]:[!#1]:[!#1]:2:[!#1]:[!#1]:3:[!#1]:[!#1]:[!#1]:[!#1]:[!#1]:3:[!#1]:[!#1]:2:[!#1]:1,1,basic
142,[!#1]~1~[!#1](~[!#1](~[!#1]~2~[!#1]~1~[!#1](~[!#1](~[!#1]~2)@[!#1])@[!#1])@[!#1])@[!#1],1,basic
143,[C!R1]1[C!R1][C!R1]OC1=O,1,basic
144,[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1](~[!#1]~1)~[!#1]~2~3,1,basic
145,"[!#1]~1~[!#1]~[!#1]~3~[!#1](~[!#1]~[!#1]~1)~[!#1]=,:[!#1!#6]~[!#1]~2~[!#1](~[!#1]~[!#1]~[!#1]~[!#1]~2)~[!#1!#6]~3",1,basic
146,[!#1]~1~[!#1]~4~[!#1](~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~2~1)~[!#1]~[!#1]~[!#1]~3~[!#1]~4~[!#1]~[!#1]~[!#1]~[!#1]~3,1,basic
147,[#7]1[#6]:3:[#6]([#16][#6]:2:[#6]1:[!#1]:[!#1]:[!#1]:[!#1]:2):[!#1]:[!#1]:[!#1]:[!#1]:3,1,basic
148,[!#1]@[!#1]~1~[!#1]~[!#1]~[!#1]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1]~[!#1]~2~[!#1]~[!#1]~1@[!#1],1,basic
149,[!#1!#6]=[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1]~2~[!#1](=[!#1!#6])~[!#1]~1,1,basic
150,[!#1!#6]=[!#1]1-[#16]-[!#1]-[!#1](=[!#1!#6])[!#1!#6]1,1,basic
151,"[#8]-,:1-,:[!#1]:3:[!#1](-,:[!#1]=,:[!#1]-,:2-,:[!#1]-,:1=,:[!#1]-,:[!#1]-,:[!#1]=,:[!#1]-,:2):[!#1]:[!#1]:[!#1]:[!#1]:3",1,basic
152,"[#8-,#8]-[#7+,#7](=O)-[!#1]~[!#1]-[#17,#35,#53]",1,basic
153,[!#1]~1~[!#1]~[!#1]~[!#1]~2~[!#1](~[!#1]~1)~[#16](~[!#1]~3~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1]~3)(=O)=O,1,basic
154,[#8]-[#6]-[#6]-1-[#8]-[#6]-[#6](-[#8])-[#6]-1-[#8],1,basic
155,"[#8,#16]1[!#1]:,=[!#1][#8,#16][!#1]:,=[!#1]1",1,basic
156,[!#1]~1~[!#1]~[!#1]~4~[!#1](~[!#1]~[!#1]~1)~[!#1]~[!#1]~2~[!#1](~[!#1]~[!#1]~3~[!#1](~[!#1]~2)~[!#1]~[!#1]~[!#1]~[!#1]~3)~[!#1]~4,1,basic
