,smarts,count,group
160,[!#1!#6]=[!#1]~1~[!#1!#6]~[!#1]~3~[!#1](~[!#1]~2~[!#1]~1~[!#1!#6]~[!#1!#6]~[!#1!#6]~2)~[!#1](~[!#1!#6]~[!#1]~[!#1!#6]~3)=[!#1!#6],1.0,simplified
161,[!#1]@[#7]~1~[!#1]~[!#1!#6]~[#8]~[#7]~1@[!#1!#6],1.0,simplified
162,[!#1]~2~[!#1]~[!#1]~[!#1]~1~[!#1]~3~[!#1](~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~[!#1](~[!#1]~[!#1]~[!#1]~2)~[!#1]~3,1.0,simplified
163,"[N,O]C(-!@[N,O])(-@[!#1])-@[!#1]",1.0,simplified
164,[!#1!#6]=[!#1]~4~[!#1!#6]~[!#1](=[!#1!#6])~[!#1]~1~[!#1]~4~[!#1]~2~[!#1]~[!#1]~[!#1]~1~[!#1]~3~[!#1]~2~[!#1]~3,1.0,simplified
165,[#6](~[#16v2X2])~[#8],1.0,simplified
166,[#8R1X2]@[#6R2]@[#8R1X2],1.0,simplified
167,[#16R1X2]@[#6R2]@[#16R1X2],1.0,simplified
168,"[#8,#7,#16]:1:[#6R1]:[#6](:[#6](:[#6R1]:1)@[!#1])@[!#1]",1.0,simplified
169,"[$([#6]-@1(-@[!#1]=[!#1][!#1]=[!#1][!#1]-@1)(-@[!#1])-!@[!#1]),$([#6]-@1(-@[!#1][!#1]=[!#1][!#1]=[!#1]-@1)(-@[!#1])-!@[!#1])]",1.0,simplified
170,[!#1]~2~1~[!#1]~[!#1]~[!#1](~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~2,1.0,simplified
171,"[!#1!#6!$([#7,#8,#16]:1:[#7]:[#6]:[#6]:[#7]:1)]~1~[!#1!#6!$([#7,#8,#16]:1:[#6]:[#6]:[#7]:[#7]:1)]~[#6]~[#6]~[!#1!#6!$([#7,#8,#16]:1:[#6]:[#6]:[#7]:[#7]:1)]~1",1.0,simplified
172,"[#8]-[F,Cl,Br,I]",1.0,simplified
173,"[$(N([#6X4,#1])([#6X4,#1])[#6X4,#1])]",3.0,simplified
174,[#8]=[!#1][!#1](=[#8])[!#1]=[#8],1.0,simplified
175,"[#6]=!@[#6]-!@[#7,#8,#16!v6]",1.0,simplified
176,[#7]~1~[#7]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~1,1.0,simplified
177,[!#1]~2~1~[!#1]~[!#1]~[!#1](~[!#1]~1)~[!#1]~[!#1]~[!#1]~[!#1]~2,1.0,simplified
178,"[H][!#1]~1~[#7,#8]~[#6]([H])=[#7]~[!#1]~[!#1]~[!#1]~1",1.0,simplified
179,[#7]~1~[#7]~[!#1]~[!#1!#6]~[!#1]~[!#1]~[!#1]~1,1.0,simplified
180,[H][!#1]-1-[!#1]=[!#1]([H])[!#1!#6][!#1]([H])=[!#1]-[!#1]-1[H],1.0,simplified
181,"[#7,#8]~1~[!#1!#6]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1!#6]~1",1.0,simplified
182,"[!#1]~1~[!#1]~[!#1]~[!#1]@=,:[#7]@-,:[#8]~[!#1]~1",1.0,simplified
183,[!#1]@[!#1]@~1@-[!#1](@-[!#1](@-[!#1](@~[!#1]@~[!#1]@~[!#1]@~1)@~[!#1])@~[!#1])@~[!#1],1.0,simplified
184,[H][#6]-1~[!#1]~[!#1]~[#6]([H])-[#7]([H])C([H])([H])[#8]-1,1.0,simplified
185,[H][#6]-1[!#1!#6][!#1]=[!#1]([H])[!#1!#6][!#1]([H])=[!#1]-1,1.0,simplified
186,[H][!#1]1-[!#1]-[!#1]=[#7]-[!#1]=[!#1]([H])[!#1!#6]1,1.0,simplified
187,[#7]!@-[#6]~1=[#7]~[!#1]~[!#1]~[!#1]~[!#1]~[#8]~1,1.0,simplified
188,[H][#6]-1=[#7]-[#6]=[#6]-[#6]=[#6]-[#7]-1,1.0,simplified
189,"[H][#6]-1-[#8,#7]-[#6]([H])-[#8,#7]-[#6]([H])-[#6]([H])-[#8,#7]-1",1.0,simplified
190,[H][#6]-1[!#1!#6][!#1]([H])=[!#1]-[!#1]=[!#1!#6][#6]-1[H],1.0,simplified
191,[H][#6]~1~[#16X2]~[!#1]~[!#1]~[!#1]~[!#1]~[#7]~1[H],1.0,simplified
